                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.54428,                0.58953,                 1.0384,                 0.8775,                0.91574,                0.95732,                0.74963,                0.88714,                0.75205,                 1.3165,             0.00071457,             0.00071457,             0.00071457
                    104,                0.50573,                0.54466,                0.99811,                 0.8291,                0.95833,                 0.9498,                0.73041,                0.89735,                0.75162,                 1.3177,              0.0007075,              0.0007075,              0.0007075
                    105,                0.51661,                0.56656,                 1.0055,                0.83946,                0.98771,                 0.9675,                0.73057,                0.90331,                0.76523,                 1.3482,             0.00070042,             0.00070042,             0.00070042
                    106,                0.49693,                0.56861,                0.99226,                0.91681,                0.91328,                0.94693,                0.71773,                0.96965,                0.84873,                 1.4077,             0.00069335,             0.00069335,             0.00069335
                    107,                0.51439,                0.59432,                 1.0005,                0.86371,                0.88426,                 0.9529,                 0.7159,                  0.988,                0.79786,                 1.4273,             0.00068628,             0.00068628,             0.00068628
                    108,                0.50878,                0.57453,                 1.0147,                0.85397,                 0.9732,                0.96895,                0.73736,                0.98579,                0.78093,                 1.4072,              0.0006792,              0.0006792,              0.0006792
                    109,                0.49618,                0.53605,                0.99381,                0.96021,                0.91645,                0.98389,                0.74627,                0.97975,                0.69745,                 1.3756,             0.00067213,             0.00067213,             0.00067213
                    110,                0.50849,                0.55319,                0.99232,                0.94728,                0.95371,                0.98833,                0.74817,                0.96546,                0.65401,                 1.3389,             0.00066506,             0.00066506,             0.00066506
                    111,                0.47524,                0.54513,                0.98803,                0.93323,                0.95648,                0.98372,                0.74193,                0.95823,                 0.6664,                 1.3284,             0.00065798,             0.00065798,             0.00065798
                    112,                0.50215,                0.55665,                0.99187,                 0.9664,                0.86755,                0.95557,                0.71232,                0.98381,                0.70493,                 1.3789,             0.00065091,             0.00065091,             0.00065091
                    113,                0.46678,                0.56447,                0.98717,                0.96895,                0.83796,                0.95248,                0.71258,                 1.0105,                0.70156,                 1.3868,             0.00064384,             0.00064384,             0.00064384
                    114,                0.46981,                0.52699,                0.98065,                0.97799,                0.82604,                0.94256,                 0.7083,                 1.0188,                0.76069,                 1.3713,             0.00063676,             0.00063676,             0.00063676
                    115,                0.52669,                0.53392,                0.97169,                0.98517,                0.78786,                0.91665,                0.70094,                0.94379,                0.79744,                 1.3085,             0.00062969,             0.00062969,             0.00062969
                    116,                0.45806,                0.51849,                0.96569,                0.91671,                0.83796,                0.92435,                0.65603,                0.90178,                0.76674,                 1.2691,             0.00062262,             0.00062262,             0.00062262
                    117,                0.45206,                0.51003,                0.94609,                0.75275,                0.96296,                0.89515,                0.65326,                0.91895,                0.77273,                 1.2863,             0.00061554,             0.00061554,             0.00061554
                    118,                0.47353,                0.51856,                0.96169,                0.92412,                0.87704,                0.95885,                0.67536,                0.95022,                0.76234,                 1.3208,             0.00060847,             0.00060847,             0.00060847
                    119,                0.49817,                  0.565,                 1.0175,                0.90923,                0.87375,                0.94929,                0.66158,                0.99831,                0.79422,                 1.3584,             0.00060139,             0.00060139,             0.00060139
                    120,                0.51384,                0.53315,                0.99781,                0.90111,                0.96296,                0.97446,                0.68565,                 1.0092,                0.78021,                 1.3577,             0.00059432,             0.00059432,             0.00059432
